Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,Start_Year,End_Year
2014/15,All codes,All admissions,All admissions,Number of admissions,Unknown,11011882.0,2014,15
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Unknown,1713330.0,2014,15
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Unknown,1691035.0,2014,15
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Unknown,611002.0,2014,15
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Unknown,907157.0,2014,15
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Unknown,1460719.0,2014,15
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Unknown,88408.0,2014,15
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Unknown,21715.0,2014,15
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Unknown,29703.0,2014,15
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Unknown,4625.0,2014,15
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Unknown,6559.0,2014,15
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Unknown,68257.0,2014,15
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Unknown,15426.0,2014,15
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Unknown,19125.0,2014,15
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Unknown,26790.0,2014,15
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Unknown,8245.0,2014,15
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Unknown,43135.0,2014,15
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,5880.0,2014,15
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,121947.0,2014,15
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Unknown,208759.0,2014,15
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,292146.0,2014,15
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,265514.0,2014,15
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,37759.0,2014,15
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,105932.0,2014,15
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Unknown,12166.0,2014,15
