Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014,All codes,All deaths,All deaths,Number of observed deaths,Unknown,459087.0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Unknown,235820.0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Unknown,136312.0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Unknown,61744.0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Unknown,126101.0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Unknown,22335.0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Unknown,28826.0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2197.0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Unknown,653.0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Unknown,6315.0
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Unknown,660.0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Unknown,4497.0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3559.0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Unknown,3598.0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Unknown,7417.0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Unknown,8432.0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Unknown,2253.0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,1189.0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,23439.0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Unknown,23389.0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,21784.0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,56258.0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,2443.0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,31670.0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,5370.0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Unknown,127.0
